"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","1994-01-01",,,"38","44","29"
"UKM00003772","HEATHROW, UK","1994-01-02","0.24",,"46","50","40"
"UKM00003772","HEATHROW, UK","1994-01-03",,,"43",,"38"
"UKM00003772","HEATHROW, UK","1994-01-04","0.16",,"41","43",
"UKM00003772","HEATHROW, UK","1994-01-05","0.16",,"43","48","35"
"UKM00003772","HEATHROW, UK","1994-01-06","0.55","0.8","38","41",
"UKM00003772","HEATHROW, UK","1994-01-07",,"0.4","35","41","30"
"UKM00003772","HEATHROW, UK","1994-01-08",,,"36",,"28"
"UKM00003772","HEATHROW, UK","1994-01-09","0.08",,"46","50","40"
"UKM00003772","HEATHROW, UK","1994-01-10",,,"46",,"44"
"UKM00003772","HEATHROW, UK","1994-01-11",,,"46","51","41"
"UKM00003772","HEATHROW, UK","1994-01-12",,,"50","55","44"
"UKM00003772","HEATHROW, UK","1994-01-13","0.16",,"48","53",
"UKM00003772","HEATHROW, UK","1994-01-14","0.00",,"44","49",
"UKM00003772","HEATHROW, UK","1994-01-15","0.12",,"42","45","36"
"UKM00003772","HEATHROW, UK","1994-01-16",,,"38",,
"UKM00003772","HEATHROW, UK","1994-01-17",,,"36","40",
"UKM00003772","HEATHROW, UK","1994-01-18",,,"40",,"27"
"UKM00003772","HEATHROW, UK","1994-01-19",,,"41",,
"UKM00003772","HEATHROW, UK","1994-01-20","0.00",,"41","49","29"
"UKM00003772","HEATHROW, UK","1994-01-21",,,"46","50","41"
"UKM00003772","HEATHROW, UK","1994-01-22",,,"49","52",
"UKM00003772","HEATHROW, UK","1994-01-23","0.04",,"48","53",
"UKM00003772","HEATHROW, UK","1994-01-24","0.10",,"43",,"37"
"UKM00003772","HEATHROW, UK","1994-01-25","0.00",,"50","55",
"UKM00003772","HEATHROW, UK","1994-01-26","0.08",,"46","50","41"
"UKM00003772","HEATHROW, UK","1994-01-27","0.04",,"49","52",
"UKM00003772","HEATHROW, UK","1994-01-28",,,"42",,
"UKM00003772","HEATHROW, UK","1994-01-29","0.02",,"44","53","34"
"UKM00003772","HEATHROW, UK","1994-01-30","0.00",,"46","50",
"UKM00003772","HEATHROW, UK","1994-01-31","0.00",,"40","46","33"
"UKM00003772","HEATHROW, UK","1994-02-01","0.12",,"45","50",
"UKM00003772","HEATHROW, UK","1994-02-02",,,"38",,
"UKM00003772","HEATHROW, UK","1994-02-03","0.43",,"44","53","35"
"UKM00003772","HEATHROW, UK","1994-02-04",,,"46","49",
"UKM00003772","HEATHROW, UK","1994-02-05","0.00",,"43","52","35"
"UKM00003772","HEATHROW, UK","1994-02-06","0.08",,"43","50","35"
"UKM00003772","HEATHROW, UK","1994-02-07","0.04",,"43","49",
"UKM00003772","HEATHROW, UK","1994-02-08","0.00",,"41","49","30"
"UKM00003772","HEATHROW, UK","1994-02-09","0.04",,"42","49","37"
"UKM00003772","HEATHROW, UK","1994-02-10","0.00",,"40","48","31"
"UKM00003772","HEATHROW, UK","1994-02-11","0.16",,"40","44",
"UKM00003772","HEATHROW, UK","1994-02-12","0.00",,"37","46","30"
"UKM00003772","HEATHROW, UK","1994-02-13",,,"35","38",
"UKM00003772","HEATHROW, UK","1994-02-14","0.01","0.4","28",,
"UKM00003772","HEATHROW, UK","1994-02-15","0.04","0.4","35",,"27"
"UKM00003772","HEATHROW, UK","1994-02-16",,,"44","47","38"
"UKM00003772","HEATHROW, UK","1994-02-17","0.00",,"41","44","37"
"UKM00003772","HEATHROW, UK","1994-02-18","0.00",,"40","45",
"UKM00003772","HEATHROW, UK","1994-02-19","0.00",,"37","44",
"UKM00003772","HEATHROW, UK","1994-02-20","0.00",,"35","38",
"UKM00003772","HEATHROW, UK","1994-02-21",,,"32","38",
"UKM00003772","HEATHROW, UK","1994-02-22","0.04",,"33","37","29"
"UKM00003772","HEATHROW, UK","1994-02-23","0.35",,"38",,"33"
"UKM00003772","HEATHROW, UK","1994-02-24","4.02",,"38",,
"UKM00003772","HEATHROW, UK","1994-02-25","0.00",,"40",,
"UKM00003772","HEATHROW, UK","1994-02-26","0.02",,"50",,"41"
"UKM00003772","HEATHROW, UK","1994-02-27","0.00",,"50","55","45"
"UKM00003772","HEATHROW, UK","1994-02-28",,,"48","53",
"UKM00003772","HEATHROW, UK","1994-03-01",,,"43","44",
"UKM00003772","HEATHROW, UK","1994-03-02","0.08",,"47","54","40"
"UKM00003772","HEATHROW, UK","1994-03-03",,,"46","54","38"
"UKM00003772","HEATHROW, UK","1994-03-04","0.00",,"45","52","37"
"UKM00003772","HEATHROW, UK","1994-03-05","0.00",,"49","58",
"UKM00003772","HEATHROW, UK","1994-03-06",,,"46","51","38"
"UKM00003772","HEATHROW, UK","1994-03-07",,,"52","57","47"
"UKM00003772","HEATHROW, UK","1994-03-08","0.08",,"53","55",
"UKM00003772","HEATHROW, UK","1994-03-09","0.04",,"50","53",
"UKM00003772","HEATHROW, UK","1994-03-10","0.00",,"46","54",
"UKM00003772","HEATHROW, UK","1994-03-11","0.00",,"43","49","34"
"UKM00003772","HEATHROW, UK","1994-03-12",,,"44","51","37"
"UKM00003772","HEATHROW, UK","1994-03-13",,,"51","56","45"
"UKM00003772","HEATHROW, UK","1994-03-14","0.00",,"52","60","44"
